"Канон. ключ","Наименование","Ед.","Итого кол-во","Кол-во источников"
"kamennye_i_armokamennye_konstruktsii","Каменные и армокаменные конструкции","","","1"
"khim_anker_anker-shpilka_8x105mm","Хим. анкер + анкер-шпилька 8x105мм","шт","194","4"
"kirpich_i_kamen_keramicheskie","Кирпич и камень керамические","м3","","1"
"kirpich_polnotelyi_kr_r_po_250x120x65_1nf_150_2_0_50","Кирпич полнотелый КР-р-по 250x120x65/1НФ/150/2,0/50","мм","250","1"
"kirpich_polnotelyj_kr_r_po_250x120x65_1nf_150_2_0_50","Кирпич полнотелый КР-р-по 250х120х65/1НФ/150/2.0/50","мм","250","1"
"kirpich_polnotelyy_kr-r-po_250x120x65_1nf_150_2_0_50_t_250mm","Кирпич полнотелый КР-р-по 250x120x65/1НФ/150/2,0/50 (т=250мм)","м3","7.13","1"
"kreplenie_ograzhdeniya_-_ministoyki_h_190mm_d_89_mm_polirovannye_nerzhaveyushchaya_stal_l_0","Крепление ограждения - министойки, h=190мм, d=89 мм, полированные нержавеющая сталь L=0","шт","39","4"
"kryltca","Крыльца","шт","","1"
"lestnica_l_7","Лестница Л-7","шт","","1"
"lestnica_monolitnaya","Лестница монолитная","","","1"
"lestnichnaya_kletka_l_1","Лестничная клетка Л-1","шт","","1"
"lestnichnaya_ploshchadka_lp1","Лестничная площадка ЛП1","шт","","1"
"lestnitsa_vertikalnaya","Лестница вертикальная","шт","","1"
"lyuk_laz","Люк-лаз","шт","1","1"
"monolitnaya_zhb_plita","Монолитная железобетонная плита","","","2"
"monolitnye_zhb_konstrukcii","Монолитные железобетонные конструкции","","","1"
"monolitnye_zhb_konstruktsii","Монолитные железобетонные конструкции","","","1"
"monolitnye_zhb_stupeni","Монолитные железобетонные ступени","","","2"
"nakladnaya_prostup_np5","Накладная проступь НП5","шт","","1"
"nakladnaya_prostup_np5_1","Накладная проступь НП5.1","шт","","1"
"naruzhnaya_lestnica_stroeniya_1","Наружная лестница строения №1","шт","","1"
"navesnaya_fasadnaya_sistema_naturalnyj_kamen","Навесная фасадная система с облицовкой плитами натурального камня","","","1"
"navesnaya_fasadnaya_sistema_oblitsovka_kamen_steklofibrobeton","Навесная фасадная система с облицовкой натуральным камнем или стеклофибробетоном","","","1"
"np5","НП5","","","1"
"oblicovka_dekorativnaya","Облицовка декоративная","м2","","1"
"oblicovka_plitami_granit_20mm_na_kleyu","Облицовка плитами из гранита 20 мм на клею","мм","20","1"
"oblicovka_plitami_iz_naturalnogo_granita","Облицовка плитами из натурального гранита","мм","20","1"
"oblicovka_plitami_izvestnyak_30mm_nfs","Облицовка плитами из известняка 30 мм на НФС","мм","30","1"
"obmazochnaya_bitumnaya_gidroizolyaciya","Обмазочная битумная гидроизоляция","слоя","2","1"
"obmazochnaya_bitumnaya_gidroizolyaciya_2_sloya","Обмазочная битумная гидроизоляция в 2 слоя","слоя","2","1"
"og-13_l_4_700","ОГ-13, L=4 700","шт","1","1"
"og-14_l_8_910","ОГ-14, L=8 910","шт","13","1"
"og-15_l_1_000","ОГ-15, L=1 000","шт","1","1"
"og-16_1_l_1_410","ОГ-16.1, L=1 410","шт","1","1"
"og-17_l_10_685","ОГ-17, L=10 685","шт","1","1"
"og-18_l_7_085","ОГ-18, L=7 085","шт","1","1"
"og-19_l_9_850","ОГ-19, L=9 850","шт","1","1"
"og-20_l_8_560","ОГ-20, L=8 560","шт","1","1"
"og-21_l_3_320","ОГ-21, L=3 320","шт","1","1"
"og-22_l_3_640","ОГ-22, L=3 640","шт","1","1"
"ograzhdenie_lestnichnogo_marsha_og_20","Ограждение лестничного марша ОГ-20","шт","1","1"
"ograzhdenie_og_13","Ограждение ОГ-13","шт","","1"
"ograzhdenie_og_14","Ограждение ОГ-14","шт","","2"
"ograzhdenie_og_15","Ограждение ОГ-15","шт","","1"
"ograzhdenie_og_16","Ограждение ОГ-16","шт","","1"
"ograzhdenie_og_17","Ограждение ОГ-17","шт","","1"
"ograzhdenie_og_18","Ограждение ОГ-18","шт","","1"
"ograzhdeniya","Ограждения","","","1"
"ograzhdeniya_lestnichnoj_kletki","Ограждения лестничной клетки","","","1"
"ograzhdeniya_lestnichnyh_kletok","Ограждения лестничных клеток","шт","","1"
"ograzhdeniya_lestnichnykh_kletok","Ограждения лестничных клеток","","","1"
"ograzhdeniya_metallicheskie_lestnic_balkonov_krysh_lestnichnyh_marshej_i_ploshchadok","Ограждения металлические лестниц, балконов, крыш, лестничных маршей и площадок","м.п.","","1"
"ograzhdeniya_v_otmetkah_51_150_55_350","Ограждения в отметках +51.150 - +55.350","","","1"
"okna","Окна","шт","","1"
"okonnye_bloki","Оконные блоки","шт","","1"
"perila","Перила","шт","","1"
"plastina_metallicheskaya","Пластина металлическая","шт","","2"
"plastina_stalnaya_t_5mm_230x100","Пластина стальная t=5мм 230x100","шт","100","5"
"plita_p4","Плита П4","шт","","1"
"plity_iz_mineralnoj_vaty_na_sinteticheskom_svyazuyushchem_teploizolyacionnye","Плиты из минеральной ваты на синтетическом связующем теплоизоляционные","м3","","1"
"pokrytie_prosechno_vytyazhnoe","Покрытие просечно-вытяжное","","","1"
"polosa_stalnaya_c245_8x20_mm","Полоса стальная С245 8х20 мм","м.п.","","1"
"polosa_stalnaya_p-obraznaya_gnutaya_s245_8x20_okraska_v_tsvet_metalla_sunsong_snjs-22100_l_2_450","Полоса стальная П-образная гнутая С245:8x20. Окраска в цвет металла Sunsong SNJS-22100, L=2 450","шт","98","5"
"polosa_stalnaya_pryamaya_s245_8x20_mm_okraska_v_tsvet_metalla_sunsong_snjs-22100_l_1_185","Полоса стальная, прямая С245: 8x20 мм. Окраска в цвет металла Sunsong SNJS-22100, L=1 185","шт","99","5"
"poruchen_metallicheskiy_stalnoy_prutya_30x15mm_okraska_v_tsvet_metalla_sunsong_snjs-22100_l_1_410","Поручень металлический стальной прутья 30x15мм. Окраска в цвет металла Sunsong SNJS-22100, L=1 410","шт","1","1"
"poruchni","Поручни","","","1"
"prokat_armaturnyj_svarivaemyj_periodicheskogo_profilya_klassov_a500s_i_b500s","Прокат арматурный свариваемый периодического профиля классов А500С и В500С","т","","1"
"prokat_sortovoj_stalnoj_goryachekatanyj_polosovoj","Прокат сортовой стальной горячекатаный полосовой","т","","1"
"rastvor_cementno_peschanyj","Раствор цементно-песчаный","","","1"
"stalnaya_plastina_derzhatelya_poruchnya_50x50mm_okraska_v_tsvet_metalla_sunsong_snjs-22100","Стальная пластина держателя поручня 50x50мм. Окраска в цвет металла Sunsong SNJS-22100","шт","11","1"
"stalnaya_prutya_30x15x2_mm_okraska_v_tsvet_metalla_sunsong_snjs-22100_l_1_000","Стальная прутья 30x15x2 мм. Окраска в цвет металла Sunsong SNJS-22100, L=1 000","шт","1","1"
"stalnaya_prutya_30x15x2_mm_okraska_v_tsvet_metalla_sunsong_snjs-22100_l_10_685","Стальная прутья 30x15x2 мм. Окраска в цвет металла Sunsong SNJS-22100, L=10 685","шт","1","1"
"stalnaya_prutya_30x15x2_mm_okraska_v_tsvet_metalla_sunsong_snjs-22100_l_4_700","Стальная прутья 30x15x2 мм. Окраска в цвет металла Sunsong SNJS-22100, L=4 700","шт","1","1"
"stalnaya_prutya_30x15x2_mm_okraska_v_tsvet_metalla_sunsong_snjs-22100_l_7_085","Стальная прутья 30x15x2 мм. Окраска в цвет металла Sunsong SNJS-22100, L=7 085","шт","1","1"
"stalnaya_prutya_30x15x2_mm_okraska_v_tsvet_metalla_sunsong_snjs-22100_l_8_910","Стальная прутья 30x15x2 мм. Окраска в цвет металла Sunsong SNJS-22100, L=8 910","шт","1","1"
"stalnye_konstruktsii","Стальные конструкции","","","1"
"steklyannoe_ograzhdenie","Стеклянное ограждение","","","1"
"steklyannoe_ograzhdenie_-_tripleks_8zak-eva-8zak_1190x10_l_3_320","Стеклянное ограждение - триплекс 8зак-ЕVA-8зак 1190x10, L=3 320","шт","1","1"
"steklyannoe_ograzhdenie_-_tripleks_8zak-eva-8zak_1190x10_l_3_640","Стеклянное ограждение - триплекс 8зак-ЕVA-8зак 1190x10, L=3 640","шт","1","1"
"steklyannoe_ograzhdenie_-_tripleks_8zak-eva-8zak_1190x10_l_8_560","Стеклянное ограждение - триплекс 8зак-ЕVA-8зак 1190x10, L=8 560","шт","1","1"
"steklyannoe_ograzhdenie_-_tripleks_8zak-eva-8zak_1190x10_l_9_850","Стеклянное ограждение - триплекс 8зак-ЕVA-8зак 1190x10, L=9 850","шт","1","1"
"steny_vertikalnye_ploskie","Стены вертикальные плоские","м2","19.8","4"
"steny_vertikalnye_po_radiusu","Стены вертикальные по радиусу","м2","60","7"
"stremyanka","Стремянка","шт","1","1"
"stupen_dorozhnaya","Ступень дорожная","м2","44.6","1"
"stupeni","Ступени","шт","","1"
"teploizolyaciya_bazaltovaya_negoryuchaya","Теплоизоляция базальтовая негорючая","","","1"
"truba_stalnaya_30x15x2_mm","Труба стальная 30х15х2 мм","м.п.","","1"
"tspr_styazhka_m150_arm_mel_setkoy_5_vr1_s_yacheykoy_100x100_mm_-_60_mm","ЦПР стяжка М150 арм. мел. сеткой 5 Вр1, с ячейкой 100x100 мм - 60 мм","м3","2.39","1"
"uteplitel","Утеплитель","","","1"
"uteplitel_baswool_lajt_35","Утеплитель минераловатный BASWOOL Лайт 35","мм","100","1"
"uteplitel_iz_penostekla_izostek_100mm","Утеплитель из пеностекла ИЗОСТЕК 100мм","мм","100","1"
"uteplitel_iz_penostekla_izostek_150mm","Утеплитель из пеностекла ИЗОСТЕК 150мм","мм","150","1"
"uteplitel_mineralovatnyi_baswool_lait_35","Утеплитель минераловатный BASWOOL Лайт 35","мм","100","1"
"uteplitel_mineralovatnyi_tekhnofas_optima","Утеплитель минераловатный ТЕХНОФАС ОПТИМА","мм","100","1"
"uteplitel_tehnofas_optima","Утеплитель минераловатный ТЕХНОФАС ОПТИМА","мм","100","1"
"uteplitel_tehnonikol_tehnovent_optima","Утеплитель минераловатный ТЕХНОНИКОЛЬ ТЕХНОВЕНТ ОПТИМА","мм","100","1"
"uteplitel_xps_tekhnonikol_carbon_prof_300","Утеплитель экструзионный пенополистирол XPS ТЕХНОНИКОЛЬ CARBON PROF 300","мм","100","1"
"vitrazhi_naruzhnye","Витражи наружные","шт","","1"
"voronka_vodopriemnaya_krovelnaya","Воронка водоприемная кровельная","шт","","1"
"zakladnye_detali","Закладные детали","","","1"
"zashivka_na_metallicheskom_karkase_knauf-profil_pn_75x40_knauf-profil_ps_75x50_75mm_dvukhsloynaya_obshivka_knauf-list_gsp-a_25mm_-_100mm","Зашивка на металлическом каркасе (КНАУФ-профиль ПН 75x40, КНАУФ-профиль ПС 75x50), 75мм; двухслойная обшивка КНАУФ-лист ГСП-А, 25мм - 100мм","м3","0.65","1"
"zhelezobeton","Железобетон","м3","","1"
