"Канон. ключ","Наименование","Ед.","Итого кол-во","Кол-во источников"
"steklyannoe_ograzhdenie_-_tripleks_8zak-eva-8zak_1190x10_l_8_560","Стеклянное ограждение - триплекс 8зак-ЕVA-8зак 1190x10, L=8 560","шт","1","1"
"steklyannoe_ograzhdenie_-_tripleks_8zak-eva-8zak_1190x10_l_9_850","Стеклянное ограждение - триплекс 8зак-ЕVA-8зак 1190x10, L=9 850","шт","1","1"
"steny_vertikalnye_ploskie","Стены вертикальные плоские","шт","","4"
"steny_vertikalnye_po_radiusu","Стены вертикальные по радиусу","шт","","7"
"stupen_dorozhnaya","Ступень дорожная","шт","","1"
"tsementno-peschanaya_styazhka_m150","Цементно-песчаная стяжка М150","","","2"
"tsementno-peschanaya_styazhka_m150_armirovannaya","Цементно-песчаная стяжка М150 армированная","","","1"
"tsementno-peschanaya_styazhka_m150_armirovannaya_metallicheskoy_setkoy_5_vr1_s_yacheykoy_100kh100","Цементно-песчаная стяжка М150 армированная металлической сеткой 5 Вр1 с ячейкой 100х100","","","1"
"tspr_styazhka_m150_arm_mel_setkoy_5_vr1_s_yacheykoy_100x100_mm_-_60_mm","ЦПР стяжка М150 арм. мел. сеткой 5 Вр1, с ячейкой 100x100 мм - 60 мм","м3","2.39","1"
"zashivka_na_metallicheskom_karkase_knauf-profil_pn_75x40_knauf-profil_ps_75x50_75mm_dvukhsloynaya_obshivka_knauf-list_gsp-a_25mm_-_100mm","Зашивка на металлическом каркасе (КНАУФ-профиль ПН 75x40, КНАУФ-профиль ПС 75x50), 75мм; двухслойная обшивка КНАУФ-лист ГСП-А, 25мм - 100мм","м3","0.65","1"
